Aesthetic Appreciation and Spanish Art:	['3', '0', '4', '3', '-1', '-2']	['amod', 'root', 'cc', 'amod', 'conj', 'punct']
We will discuss the potential implications of these techniques and our understanding of visual behaviours on museum and gallery practice.	['4', '3', '0', '4', '3', '-1', '4', '3', '-1', '4', '3', '-4', '4', '3', '-1', '6', '5', '3', '0', '-6', '-16']	['nsubj', 'aux', 'root', 'det', 'amod', 'obj', 'case', 'det', 'nmod', 'cc', 'nmod:poss', 'conj', 'case', 'amod', 'nmod', 'case', 'compound', 'cc', 'conj', 'nmod', 'punct']
The project brings together established research strengths in Spanish art history, experimental psychology, digital humanities, and museum studies to explore, using eye-tracking techniques, aesthetic reactions to digital representations of the individual Zurbarán artworks as well as the significance of the collection as a whole.	['3', '3', '0', '1', '4', '3', '-2', '5', '4', '3', '-2', '4', '3', '-1', '4', '3', '-4', '5', '4', '3', '-8', '3', '-18', '3', '0', '3', '0', '4', '3', '-1', '4', '3', '-1', '6', '5', '4', '3', '-3', '6', '1', '0', '3', '-11', '4', '3', '-1', '4', '3', '-1', '-45']	['det', 'nsubj', 'root', 'compound:prt', 'amod', 'compound', 'obj', 'case', 'amod', 'compound', 'nmod', 'punct', 'amod', 'conj', 'punct', 'amod', 'conj', 'punct', 'cc', 'compound', 'conj', 'mark', 'xcomp', 'punct', 'advcl', 'compound', 'obj', 'punct', 'amod', 'appos', 'case', 'amod', 'nmod', 'case', 'det', 'amod', 'compound', 'nmod', 'cc', 'fixed', 'fixed', 'det', 'conj', 'case', 'det', 'nmod', 'case', 'det', 'nmod', 'punct']
Our experience of art develops from the interaction of several cognitive and affective processes; the beginning of which is a visual scan of the artwork.	['3', '5', '3', '0', '0', '4', '3', '-1', '7', '6', '5', '3', '0', '-4', '10', '3', '8', '3', '0', '5', '4', '3', '-16', '4', '3', '-1', '-20']	['nmod:poss', 'nsubj', 'case', 'nmod', 'root', 'case', 'det', 'obl', 'case', 'amod', 'amod', 'cc', 'conj', 'nmod', 'punct', 'det', 'nsubj', 'case', 'nmod', 'cop', 'det', 'amod', 'parataxis', 'case', 'det', 'nmod', 'punct']
When regarding an artwork, a viewer gathers information through a series fixations, interspersed by rapid movements of the eye called saccades.	['3', '8', '3', '0', '-1', '3', '3', '0', '1', '5', '4', '3', '-3', '3', '0', '4', '3', '-1', '4', '3', '-1', '-2', '1', '-14']	['mark', 'advcl', 'det', 'obj', 'punct', 'det', 'nsubj', 'root', 'obj', 'case', 'det', 'compound', 'obl', 'punct', 'acl', 'case', 'amod', 'obl', 'case', 'det', 'nmod', 'acl', 'obj', 'punct']
The direction of saccades is determined by an interaction between the goals of the observer and the physical properties of the different elements of the scene (e.g. colour, texture, brightness etc).	['3', '6', '3', '0', '3', '0', '4', '3', '-1', '4', '3', '-1', '4', '3', '-1', '5', '4', '3', '-5', '5', '4', '3', '-2', '4', '3', '-1', '4', '3', '-8', '3', '0', '3', '-2', '-3', '-4', '-28']	['det', 'nsubj:pass', 'case', 'nmod', 'aux:pass', 'root', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'case', 'det', 'nmod', 'cc', 'det', 'amod', 'conj', 'case', 'det', 'amod', 'nmod', 'case', 'det', 'nmod', 'punct', 'advmod', 'appos', 'punct', 'conj', 'punct', 'conj', 'conj', 'punct', 'punct']
Importantly, studying eye movements offers an insight that does not depend on the participants’ beliefs, memories or subjective impressions of the artwork.	['7', '1', '5', '3', '0', '0', '3', '0', '5', '4', '3', '-2', '6', '3', '4', '1', '-3', '3', '0', '4', '3', '-3', '4', '3', '-1', '-18']	['advmod', 'punct', 'csubj', 'compound', 'obj', 'root', 'det', 'obj', 'nsubj', 'aux', 'advmod', 'acl:relcl', 'case', 'det', 'nmod:poss', 'case', 'obl', 'punct', 'conj', 'cc', 'amod', 'conj', 'case', 'det', 'nmod', 'punct']
Previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts (see for example Brieber 2014; Binderman et al., 2005) and at the same time offers a direct way of studying several important factors of a museum visit (Filippini Fantoni et al., 2013; Heidenreich & Turano 2011; Milekic 2010).	['5', '3', '3', '4', '3', '0', '3', '0', '3', '0', '3', '0', '3', '0', '3', '0', '4', '3', '-1', '3', '-13', '3', '0', '-1', '1', '3', '-1', '3', '0', '3', '-6', '-9', '7', '5', '4', '3', '3', '-30', '4', '3', '-1', '3', '0', '4', '3', '-1', '5', '4', '3', '-2', '3', '-12', '1', '3', '-1', '3', '-3', '3', '-5', '3', '0', '-1', '3', '-10', '1', '-12', '-59']	['amod', 'compound', 'compound', 'nsubj', 'aux', 'root', 'det', 'obj', 'mark', 'acl', 'det', 'obj', 'nsubj', 'acl:relcl', 'amod', 'obj', 'case', 'det', 'nmod', 'punct', 'dep', 'case', 'obl', 'obj', 'nmod:tmod', 'punct', 'conj', 'cc', 'conj', 'punct', 'nmod:tmod', 'punct', 'cc', 'case', 'det', 'amod', 'obl', 'conj', 'det', 'amod', 'obj', 'mark', 'acl', 'amod', 'amod', 'obj', 'case', 'det', 'compound', 'nmod', 'punct', 'dep', 'flat', 'cc', 'conj', 'punct', 'nmod:tmod', 'punct', 'conj', 'cc', 'conj', 'nmod:tmod', 'punct', 'conj', 'nmod:tmod', 'punct', 'punct']
Zurbarán’s cycle of Jacob and his Sons has been on display in the Long Room at Auckland Castle for over 250 years.	['4', '1', '11', '3', '0', '4', '3', '-1', '5', '4', '3', '0', '5', '4', '3', '-2', '4', '3', '-1', '5', '3', '3', '-9', '-10']	['nmod:poss', 'case', 'nsubj', 'case', 'nmod', 'cc', 'nmod:poss', 'conj', 'aux', 'cop', 'case', 'root', 'case', 'det', 'compound', 'nmod', 'case', 'compound', 'nmod', 'case', 'advmod', 'nummod', 'nmod', 'punct']
It is the only cycle to be preserved in purpose-built surroundings in the UK, and one of very few of its kind in the world.	['6', '5', '4', '3', '0', '4', '3', '-1', '4', '3', '-1', '4', '3', '-1', '4', '3', '-10', '4', '3', '-1', '4', '3', '-1', '4', '3', '-1', '-20']	['nsubj', 'cop', 'det', 'amod', 'root', 'mark', 'aux:pass', 'acl', 'case', 'amod', 'obl', 'case', 'det', 'nmod', 'punct', 'cc', 'conj', 'case', 'advmod', 'nmod', 'case', 'nmod:poss', 'obl', 'case', 'det', 'nmod', 'punct']
It has a long history in scholarship (Baron & Beresford 2014), but many key aspects of its production and significance have not yet been fully understood.	['3', '0', '4', '3', '-1', '3', '0', '3', '-5', '3', '0', '-1', '-2', '17', '16', '4', '3', '13', '4', '3', '-1', '3', '0', '7', '6', '5', '4', '3', '-25', '-26']	['nsubj', 'root', 'det', 'amod', 'obj', 'case', 'nmod', 'punct', 'dep', 'cc', 'conj', 'nmod:tmod', 'punct', 'punct', 'cc', 'amod', 'amod', 'nsubj:pass', 'case', 'nmod:poss', 'nmod', 'cc', 'conj', 'aux', 'advmod', 'advmod', 'aux:pass', 'advmod', 'conj', 'punct']
In this study we used eye-tracking in the first stage of exploring audience experience of the extensive Spanish art collections of County Durham, of which the 13 Zurbarán artworks (there are actually only 12 Zurbarán artworks, the 13th Benjamin, is a copy by Arthur Pond) are a key part of, to investigate the ways in which audiences look at Spanish art, how aesthetic experience is evaluated and whether audiences can be encouraged to approach art in different ways.	['4', '3', '4', '3', '0', '1', '5', '4', '3', '-3', '3', '0', '3', '0', '7', '6', '5', '3', '3', '-4', '4', '3', '-1', '32', '3', '30', '5', '4', '3', '26', '4', '3', '-1', '1', '3', '4', '3', '-3', '9', '3', '7', '1', '0', '4', '3', '-11', '3', '0', '1', '-15', '5', '4', '3', '-32', '1', '4', '3', '-51', '3', '0', '3', '4', '3', '-2', '4', '3', '-1', '7', '6', '3', '4', '3', '-7', '7', '6', '5', '4', '3', '-4', '3', '0', '1', '4', '3', '-2', '-79']	['case', 'det', 'obl', 'nsubj', 'root', 'obj', 'case', 'det', 'amod', 'obl', 'mark', 'acl', 'compound', 'obj', 'case', 'det', 'amod', 'amod', 'compound', 'nmod', 'case', 'compound', 'nmod', 'punct', 'case', 'nmod', 'det', 'nummod', 'compound', 'nsubj', 'punct', 'expl', 'parataxis', 'advmod', 'advmod', 'nummod', 'compound', 'nsubj', 'punct', 'det', 'nsubj', 'appos', 'punct', 'cop', 'det', 'parataxis', 'case', 'nmod', 'flat', 'punct', 'cop', 'det', 'amod', 'acl:relcl', 'nmod', 'punct', 'mark', 'advcl', 'det', 'obj', 'case', 'obl', 'nsubj', 'acl:relcl', 'case', 'amod', 'obl', 'punct', 'mark', 'amod', 'nsubj:pass', 'aux:pass', 'conj', 'cc', 'mark', 'nsubj:pass', 'aux', 'aux:pass', 'conj', 'mark', 'xcomp', 'obj', 'case', 'amod', 'obl', 'punct']
This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye-tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit, namely to assess the effects of label characteristics on visitor visual behaviour.	['4', '3', '4', '3', '0', '5', '4', '3', '-2', '1', '3', '-5', '3', '0', '4', '3', '-1', '3', '0', '3', '0', '3', '0', '3', '0', '3', '0', '3', '0', '3', '0', '7', '5', '4', '3', '3', '-14', '4', '3', '-1', '3', '0', '4', '3', '-1', '5', '4', '3', '-2', '5', '4', '3', '-11', '3', '0', '4', '3', '-1', '5', '4', '3', '-7', '-56']	['det', 'compound', 'nsubj', 'advmod', 'root', 'mark', 'nsubj', 'advmod', 'ccomp', 'obj', 'cc', 'conj', 'amod', 'obj', 'case', 'det', 'nmod', 'nsubj', 'acl:relcl', 'mark', 'xcomp', 'det', 'obj', 'nsubj', 'acl:relcl', 'amod', 'obj', 'case', 'nmod', 'cc', 'conj', 'cc', 'case', 'det', 'amod', 'obl', 'conj', 'det', 'amod', 'obj', 'mark', 'acl', 'amod', 'amod', 'obj', 'case', 'det', 'compound', 'nmod', 'punct', 'advmod', 'mark', 'acl', 'det', 'obj', 'case', 'compound', 'nmod', 'case', 'compound', 'amod', 'obl', 'punct']
1 Introduction	['3', '0']	['dep', 'root']
Tenured and tenure-track university faculty play a special role in determining the speed and direction of scientific progress, both directly through their research and indirectly through their training of new researchers.	['6', '3', '0', '3', '3', '0', '4', '3', '-1', '3', '-3', '3', '0', '3', '0', '4', '3', '-3', '7', '6', '5', '4', '3', '-11', '6', '5', '4', '3', '-5', '4', '3', '-1', '-25']	['amod', 'cc', 'conj', 'compound', 'nsubj', 'root', 'det', 'amod', 'obj', 'mark', 'advcl', 'det', 'obj', 'cc', 'conj', 'case', 'amod', 'nmod', 'punct', 'cc:preconj', 'advmod', 'case', 'nmod:poss', 'obl', 'cc', 'advmod', 'case', 'nmod:poss', 'conj', 'case', 'amod', 'nmod', 'punct']
Past studies establish that each of these efforts is strongly and positively influenced through various forms of faculty diversity, including ethnic, racial, and gender diversity.	['3', '3', '0', '11', '10', '4', '3', '-1', '6', '5', '3', '0', '-8', '4', '3', '-1', '4', '3', '-1', '10', '9', '8', '3', '0', '4', '3', '-3', '-10', '-24']	['amod', 'nsubj', 'root', 'mark', 'nsubj:pass', 'case', 'det', 'nmod', 'aux:pass', 'advmod', 'cc', 'conj', 'ccomp', 'case', 'amod', 'obl', 'case', 'compound', 'nmod', 'punct', 'case', 'amod', 'punct', 'conj', 'punct', 'cc', 'conj', 'nmod', 'punct']
As an example, research shows that greater diversity within a community or group can lead to improved critical thinking [1] and more creative solutions to complex tasks [2, 3] by pairing together individuals with unique skillsets and perspectives that complement and often augment the abilities of their peers.	['4', '3', '5', '1', '3', '0', '11', '3', '9', '4', '3', '-1', '3', '0', '3', '-8', '5', '4', '3', '-2', '3', '-4', '1', '5', '3', '3', '-5', '4', '3', '-1', '3', '-3', '3', '-5', '1', '3', '-19', '1', '0', '4', '3', '-1', '3', '0', '3', '-2', '4', '3', '-1', '3', '-3', '4', '3', '-1', '-47']	['case', 'det', 'obl', 'punct', 'nsubj', 'root', 'mark', 'amod', 'nsubj', 'case', 'det', 'nmod', 'cc', 'conj', 'aux', 'ccomp', 'case', 'amod', 'amod', 'obl', 'punct', 'dep', 'punct', 'cc', 'advmod', 'amod', 'conj', 'case', 'amod', 'nmod', 'punct', 'dep', 'punct', 'dep', 'punct', 'mark', 'advcl', 'compound:prt', 'obj', 'case', 'amod', 'nmod', 'cc', 'conj', 'nsubj', 'acl:relcl', 'cc', 'advmod', 'conj', 'det', 'obj', 'case', 'nmod:poss', 'nmod', 'punct']
Additionally, diversity has been shown to produce more supportive social climates and effective learning environments [4], which can facilitate the mentoring of young scientists.	['7', '1', '5', '4', '3', '0', '3', '0', '3', '4', '3', '-2', '5', '4', '3', '-2', '3', '-10', '1', '5', '4', '3', '-9', '3', '0', '4', '3', '-1', '-21']	['advmod', 'punct', 'nsubj:pass', 'aux', 'aux:pass', 'root', 'mark', 'xcomp', 'advmod', 'amod', 'amod', 'obj', 'cc', 'amod', 'compound', 'conj', 'punct', 'dep', 'punct', 'punct', 'nsubj', 'aux', 'acl:relcl', 'det', 'obj', 'case', 'amod', 'nmod', 'punct']
Despite these positive effects, however, quantifying the impact of diversity in science remains exceedingly difficult, due in large part to a lack of comprehensive data about the scientific workforce.	['5', '4', '3', '13', '1', '11', '1', '9', '3', '0', '3', '0', '3', '-2', '0', '3', '0', '9', '8', '4', '3', '5', '-2', '3', '-8', '4', '3', '-1', '5', '4', '3', '-2', '-16']	['case', 'det', 'amod', 'obl', 'punct', 'advmod', 'punct', 'csubj', 'det', 'obj', 'case', 'nmod', 'case', 'nmod', 'root', 'advmod', 'xcomp', 'punct', 'case', 'case', 'amod', 'obl', 'fixed', 'det', 'obl', 'case', 'amod', 'nmod', 'case', 'det', 'amod', 'nmod', 'punct']
Measuring the composition and dynamics of a scientific workforce, particularly in a rapidly expanding field like computer science, is a crucial first step toward understanding how scholarly research is conducted and how it might be enhanced.	['26', '3', '0', '3', '0', '5', '4', '3', '-4', '8', '7', '6', '5', '3', '3', '-13', '4', '3', '-1', '-17', '6', '5', '4', '3', '0', '3', '0', '6', '3', '4', '3', '-3', '7', '6', '5', '4', '3', '-4', '-12']	['csubj', 'det', 'obj', 'cc', 'conj', 'case', 'det', 'amod', 'nmod', 'punct', 'advmod', 'case', 'det', 'advmod', 'amod', 'obl', 'case', 'compound', 'nmod', 'punct', 'cop', 'det', 'amod', 'amod', 'root', 'mark', 'acl', 'mark', 'amod', 'nsubj:pass', 'aux:pass', 'ccomp', 'cc', 'mark', 'nsubj:pass', 'aux', 'aux:pass', 'conj', 'punct']
For many scientific fields, however, there is no central listing of all tenure-track faculty, making it difficult to define a rigorous sample frame for analysis.	['5', '4', '3', '7', '1', '5', '1', '3', '0', '4', '3', '-1', '5', '4', '3', '-2', '3', '-7', '1', '0', '3', '0', '5', '4', '3', '-2', '3', '-4', '-18']	['case', 'amod', 'amod', 'obl', 'punct', 'advmod', 'punct', 'expl', 'root', 'det', 'amod', 'nsubj', 'case', 'det', 'amod', 'nmod', 'punct', 'advcl', 'obj', 'xcomp', 'mark', 'xcomp', 'det', 'amod', 'compound', 'obj', 'case', 'obl', 'punct']
Further, rates of adoption of services like GoogleScholar and ResearchGate vary within, and across disciplines.	['13', '1', '11', '3', '0', '3', '0', '3', '0', '3', '0', '0', '6', '4', '3', '-1', '-3', '-4']	['advmod', 'punct', 'nsubj', 'case', 'nmod', 'case', 'nmod', 'case', 'nmod', 'cc', 'conj', 'root', 'case', 'punct', 'cc', 'conj', 'obl', 'punct']
For instance, gender representation in computing is an important issue with broad implications [5], but without a full census of computing faculty, the degree of inequality and its possible sources are difficult to establish [6].	['3', '11', '1', '3', '8', '3', '0', '5', '4', '3', '0', '4', '3', '-1', '3', '-3', '1', '21', '20', '5', '4', '3', '16', '4', '3', '-1', '-2', '3', '10', '3', '0', '5', '4', '3', '-2', '3', '-24', '3', '0', '3', '-2', '1', '-30']	['case', 'nmod', 'punct', 'compound', 'nsubj', 'case', 'nmod', 'cop', 'det', 'amod', 'root', 'case', 'amod', 'nmod', 'punct', 'dep', 'punct', 'punct', 'cc', 'case', 'det', 'amod', 'obl', 'case', 'compound', 'nmod', 'punct', 'det', 'nsubj', 'case', 'nmod', 'cc', 'nmod:poss', 'amod', 'conj', 'cop', 'conj', 'mark', 'xcomp', 'punct', 'dep', 'punct', 'punct']
Some disciplines, like political science, are organized around a single professional society, whose membership roll approximates a full census [7].	['3', '9', '5', '4', '3', '-2', '-3', '3', '0', '6', '5', '4', '3', '-3', '6', '4', '3', '3', '-3', '4', '3', '-1', '3', '-13', '1', '-15']	['det', 'nsubj', 'punct', 'case', 'amod', 'nmod', 'punct', 'cop', 'root', 'case', 'det', 'amod', 'amod', 'obl', 'punct', 'nmod:poss', 'compound', 'nsubj', 'acl:relcl', 'det', 'amod', 'obj', 'punct', 'dep', 'punct', 'punct']
Most fields, on the other hand, including computer science, lack a single all-encompassing organization and membership information is instead distributed across many disjoint lists, such as web-based faculty directories for individual departments.	['3', '13', '1', '5', '4', '3', '8', '1', '4', '3', '-7', '3', '0', '5', '4', '3', '-2', '7', '3', '5', '4', '3', '-8', '5', '4', '3', '-2', '7', '6', '1', '4', '3', '-4', '4', '3', '-1', '-22']	['amod', 'nsubj', 'punct', 'case', 'det', 'amod', 'obl', 'punct', 'case', 'compound', 'nmod', 'punct', 'root', 'det', 'amod', 'amod', 'obj', 'cc', 'compound', 'nsubj', 'aux:pass', 'advmod', 'conj', 'case', 'amod', 'amod', 'obl', 'punct', 'case', 'fixed', 'amod', 'compound', 'nmod', 'case', 'amod', 'nmod', 'punct']
Because assembling such a full census is difficult, past studies have tended to avoid this task and have instead used samples of researchers [8 – 11], usually specific to a particular field [12 – 16], and often focused on the scientific elite [17, 18].	['9', '8', '5', '4', '3', '-2', '3', '7', '1', '3', '4', '3', '0', '3', '0', '3', '0', '5', '4', '3', '-6', '1', '3', '0', '3', '-11', '3', '0', '-1', '4', '3', '-8', '5', '4', '3', '-2', '3', '-4', '3', '0', '-1', '5', '4', '3', '-22', '5', '4', '3', '-2', '3', '-4', '3', '0', '-1', '-40']	['mark', 'csubj', 'det:predet', 'det', 'amod', 'obj', 'cop', 'advcl', 'punct', 'amod', 'nsubj', 'aux', 'root', 'mark', 'xcomp', 'det', 'obj', 'cc', 'aux', 'advmod', 'conj', 'obj', 'case', 'nmod', 'punct', 'dep', 'case', 'nmod', 'punct', 'punct', 'advmod', 'amod', 'case', 'det', 'amod', 'obl', 'punct', 'dep', 'case', 'nmod', 'punct', 'punct', 'cc', 'advmod', 'conj', 'case', 'det', 'amod', 'obl', 'punct', 'dep', 'punct', 'conj', 'punct', 'punct']
Although useful, such samples are not representative of the scientific workforce as a whole and thus have limited generalizability.	['3', '8', '1', '3', '5', '4', '3', '0', '5', '4', '3', '-2', '4', '3', '-1', '4', '3', '-8', '3', '0', '-11']	['mark', 'advcl', 'punct', 'amod', 'nsubj', 'cop', 'advmod', 'root', 'case', 'det', 'amod', 'obl', 'case', 'det', 'nmod', 'cc', 'advmod', 'conj', 'amod', 'obj', 'punct']
One of the largest census efforts to date assembled, by hand, a nearly complete record of three academic fields: computer science, history, and business [19].	['10', '6', '5', '4', '3', '-3', '3', '0', '0', '4', '3', '-1', '6', '5', '3', '3', '-6', '5', '4', '3', '-2', '4', '3', '-1', '3', '0', '4', '3', '-3', '3', '-20', '1', '-22']	['nsubj', 'case', 'det', 'amod', 'compound', 'nmod', 'case', 'nmod', 'root', 'punct', 'case', 'obl', 'punct', 'det', 'advmod', 'amod', 'obj', 'case', 'nummod', 'amod', 'nmod', 'punct', 'compound', 'appos', 'punct', 'conj', 'punct', 'cc', 'conj', 'punct', 'dep', 'punct', 'punct']
This data set has shed considerable light on dramatic inequalities in faculty training, placement, and scholarly productivity [6, 19, 20].	['4', '3', '4', '3', '0', '3', '0', '4', '3', '-3', '4', '3', '-1', '3', '0', '5', '4', '3', '-4', '3', '-14', '3', '0', '3', '-2', '-3', '-20']	['det', 'compound', 'nsubj', 'aux', 'root', 'amod', 'obj', 'case', 'amod', 'obl', 'case', 'compound', 'nmod', 'punct', 'conj', 'punct', 'cc', 'amod', 'conj', 'punct', 'dep', 'punct', 'conj', 'punct', 'conj', 'punct', 'punct']
But, this data set is only a single snapshot of an evolving and expanding system and hence offers few insights into the changing composition and diversity trends within these academic fields.	['20', '1', '4', '3', '7', '6', '5', '4', '3', '0', '7', '6', '5', '3', '0', '-4', '4', '3', '-7', '3', '0', '5', '4', '3', '-2', '4', '3', '-1', '5', '4', '3', '-5', '-21']	['cc', 'punct', 'det', 'compound', 'nsubj', 'cop', 'advmod', 'det', 'amod', 'root', 'case', 'det', 'amod', 'cc', 'conj', 'nmod', 'cc', 'advmod', 'conj', 'amod', 'obj', 'case', 'det', 'amod', 'nmod', 'cc', 'compound', 'conj', 'case', 'det', 'amod', 'nmod', 'punct']
In some fields, yearly data on faculty numbers and composition are available in aggregate.	['4', '3', '12', '1', '3', '9', '4', '3', '-1', '3', '0', '3', '0', '3', '0', '-1']	['case', 'det', 'obl', 'punct', 'amod', 'nsubj', 'case', 'compound', 'nmod', 'cc', 'conj', 'cop', 'root', 'case', 'obl', 'punct']
In computer science, the Computing Research Association (CRA) documents trends in the employment of PhD recipients through the annual Taulbee survey of computing departments in North America (cra.org/resources/taulbee-survey).	['4', '3', '11', '1', '5', '4', '3', '6', '3', '0', '1', '0', '1', '4', '3', '-1', '4', '3', '-1', '6', '5', '4', '3', '-10', '4', '3', '-1', '4', '3', '-1', '3', '-6', '1', '-20']	['case', 'compound', 'obl', 'punct', 'det', 'compound', 'compound', 'nsubj', 'punct', 'appos', 'punct', 'root', 'obj', 'case', 'det', 'nmod', 'case', 'compound', 'nmod', 'case', 'det', 'amod', 'compound', 'obl', 'case', 'compound', 'nmod', 'case', 'compound', 'nmod', 'punct', 'appos', 'punct', 'punct']
Such surveys can provide valuable insight into trends and summary statistics on the scientific workforce but suffer from two key weaknesses.	['3', '4', '3', '0', '3', '0', '3', '0', '4', '3', '-1', '5', '4', '3', '-2', '3', '-11', '5', '4', '3', '-2', '-16']	['amod', 'nsubj', 'aux', 'root', 'amod', 'obj', 'case', 'nmod', 'cc', 'compound', 'conj', 'case', 'det', 'amod', 'nmod', 'cc', 'conj', 'case', 'nummod', 'amod', 'obl', 'punct']
