T_degC,Salnty
8.25,34.183
10.64,33.513
18.98,34.01
11.36,33.372
3.87,34.484
6.13,34.172
9.353,33.879
5.64,34.28
7.46,34.24
9.29,33.54
17.22,33.81
14.6,33.65
13.44,33.584
7.43,34.242
19.57,34.356
5.71,34.169
6.62,34.163
8.16,34.09
11.25,33.377
12.39,33.307
11.66,34.78
9.63,33.906
16.29,35.5
7.56,34.068
19.41,33.603
9.92,34.123
9.09,33.892
18.41,33.719
9.24,33.808
15.015,33.2639
12.86,33.444
10.18,34.572
10.17,34.47
14.78,33.209
8.19,34.046
6.42,34.208
11.02,34.31
6.03,34.298
5.48,34.189
24.04,35.293
8.54,33.95
14.95,33.43
15.68,33.351
11.83,33.92
19.68,33.257
6.06,34.345
5.74,34.33
19.65,33.687
12.61,33.821
6.77,34.02
6.14,34.11
6.7,34.281
16.94,33.146
15.68,33.67
13.539,33.3335
8.79,33.797
8.56,34.023
16.09,33.952
12.1,33.369
9.36,33.806
9.05,33.977
14.19,34.366
8.46,33.71
9.36,33.64
18.4,35.19
13.72,33.203
8.69,34.36
14.14,33.031
9.68,33.331
9.32,33.992
14.58,33.229
13.4,34.29
13.76,33.421
7.1,34.329
13.5,33.511
4.24,34.38
16.01,33.268
11.02,33.26
12.73,33.433
15.32,33.53
7.99,33.966
14.15,33.516
5.75,34.01
8.47,34.07
4.75,34.549
9.25,33.881
9.56,34.421
6.65,34.28
14.55,33.4
8.53,34.037
21.5,35.011
16.78,33.418
12.407,33.3948
12.12,33.61
9.8,33.923
6.6,34.108
4.97,34.302
6.7,34.48
9.38,34.463
16.33,33.58
10.03,33.694
9.82,33.802
6.66,34.09
12.24,33.44
18.74,33.55
12.0,33.685
14.52,33.04
5.85,34.05
9.3,34.121
10.82,33.13
11.89,33.403
11.03,33.617
8.02,34.097
13.39,33.228
9.89,33.942
14.54,33.217
15.36,33.371
4.26,34.301
7.62,34.275
9.73,34.46
7.9,34.224
17.87,34.28
8.3,34.032
10.5,33.767
8.11,33.986
17.97,34.13
10.53,34.519
19.13,33.535
11.235,33.231
12.44,33.12
8.49,34.476
3.62,34.498
20.96,33.919
10.24,33.51
14.92,33.65
9.84,33.827
9.12,33.606
8.07,33.051
18.82,33.566
11.24,33.62
14.43,32.883
14.83,33.516
14.24,33.382
13.91,33.134
8.98,33.68
21.64,35.254
3.78,34.25
22.55,34.713
15.53,33.178
7.25,34.1
5.66,34.228
14.21,33.533
17.42,34.068
8.69,33.97
9.19,34.224
9.34,33.751
9.75,32.83
9.52,33.68
4.5,34.43
9.83,34.667
6.68,34.071
11.02,34.364
11.46,33.55
14.42,33.673
16.1,33.455
5.91,34.136
6.54,34.265
4.75,34.417
2.31,34.61
8.78,33.904
13.82,33.19
16.18,33.616
15.43,33.11
8.43,33.963
11.91,32.884
5.06,34.39
8.22,34.128
7.51,34.032
6.26,33.98
12.49,32.7
6.37,33.98
8.95,34.052
11.34,33.89
15.79,33.41
10.82,34.072
9.62,34.29
11.2,33.4
11.2,33.585
12.94,33.418
8.59,33.974
6.33,34.125
3.88,34.473
5.52,34.29
9.77,33.69
13.19,33.126
12.8,34.56
12.9,33.469
4.93,34.545
12.94,33.27
18.32,33.473
8.76,33.934
12.57,33.22
18.2,33.15
9.29,33.82
7.97,33.967
19.34,33.66
6.82,34.181
17.66,33.22
14.91,33.62
9.64,33.78
18.24,33.03
22.07,33.515
9.88,33.734
16.02,34.992
14.86,33.531
18.85,33.53
12.62,33.581
12.34,33.639
11.58,33.72
13.35,33.18
13.23,33.36
19.65,33.562
12.09,33.353
10.5,34.07
11.41,33.664
10.32,33.764
14.65,33.158
9.59,34.1
14.7,33.273
12.36,33.78
5.32,34.14
12.24,33.038
15.49,33.254
14.77,33.57
5.75,34.34
11.93,33.65
14.85,33.357
6.92,34.419
7.94,34.157
9.63,33.6
13.7,34.08
16.13,33.054
7.84,34.05
9.32,33.76
7.99,34.175
9.04,34.025
6.545,34.1637
16.26,33.388
10.06,34.209
8.85,34.1
2.91,34.498
14.94,33.57
18.445,33.3388
7.35,34.169
14.08,33.535
6.93,34.389
7.58,34.37
8.27,34.051
11.8,33.35
7.14,34.34
12.52,33.409
11.06,33.89
10.06,33.58
12.12,33.58
14.968,33.2641
16.39,33.476
13.33,33.345
11.25,33.574
8.16,33.922
12.29,34.264
15.41,33.738
13.26,33.404
14.12,33.48
6.17,34.281
9.46,34.32
11.02,33.386
8.48,33.91
9.61,34.318
13.19,33.378
17.39,33.069
8.84,34.13
10.02,33.67
14.1,33.508
8.46,33.919
16.05,33.506
14.46,33.59
16.07,33.78
8.54,34.028
11.335,33.5642
5.9,34.2
7.46,34.142
8.854,33.8874
17.11,33.798
16.53,33.481
12.0,33.601
12.44,33.214
8.48,33.98
8.03,34.226
4.46,34.037
15.11,32.921
5.7,34.254
10.39,33.97
11.88,33.75
4.68,34.18
13.93,34.95
5.87,34.131
8.92,33.257
10.41,33.487
8.96,33.851
16.64,32.511
13.31,32.707
12.74,33.45
7.44,34.028
13.38,33.323
5.29,34.34
15.56,33.303
10.39,33.471
11.8,33.176
6.21,34.129
9.02,33.913
7.96,34.265
8.75,33.963
14.06,33.01
16.8,33.803
5.94,34.228
9.94,33.834
15.17,33.784
8.16,34.07
11.73,33.682
6.93,34.181
1.59,34.677
13.38,33.45
4.52,34.414
10.5,33.28
8.85,34.52
19.94,33.376
6.18,34.192
10.15,33.727
11.76,33.62
6.69,34.255
9.69,33.58
15.13,33.507
14.61,33.114
6.18,34.45
20.89,33.521
12.72,33.15
7.07,34.098
5.62,34.182
7.08,34.31
14.77,33.15
9.88,33.757
10.02,33.73
10.7,33.18
15.16,33.356
2.1,34.617
16.46,33.47
9.568,33.4993
6.38,34.034
9.96,33.458
4.07,34.48
5.3,34.215
5.98,34.42
7.95,34.083
11.27,33.46
4.24,34.53
10.15,33.618
11.95,32.722
19.83,34.13
15.61,33.14
5.24,34.31
11.68,33.779
14.88,33.25
11.88,33.51
14.504,33.4886
5.96,34.192
14.87,33.346
16.53,33.26
19.24,33.704
9.98,34.371
6.13,34.187
7.78,34.36
14.98,33.58
13.92,33.548
18.48,33.434
6.17,34.052
6.51,34.178
7.34,33.98
7.55,34.29
14.54,33.03
8.01,34.12
10.14,33.595
15.52,32.973
6.13,34.292
15.7,33.58
6.69,34.217
7.7,34.04
5.8,34.231
9.06,33.667
7.12,34.013
6.72,34.22
15.92,33.64
15.74,33.177
8.883,34.2364
13.04,33.467
16.588,33.1534
16.58,33.95
10.17,34.599
10.73,33.616
10.0,33.6
17.74,34.23
7.34,34.027
6.46,34.151
18.91,33.941
11.79,32.813
16.5,33.65
13.61,33.581
14.0,33.728
8.75,33.953
7.07,33.98
18.51,33.828
9.82,33.815
13.41,33.512
10.73,33.367
5.85,34.039
13.09,33.63
11.08,33.534
17.723,33.5073
16.5,33.11
6.88,33.974
6.44,34.27
9.65,33.99
11.98,33.53
15.51,33.174
10.93,33.51
10.14,34.178
12.41,33.057
11.8,33.588
14.78,33.32
5.97,34.26
17.28,33.342
13.06,33.503
9.04,34.56
9.3,33.85
15.15,33.56
10.81,33.333
15.73,33.222
5.6,34.151
6.12,34.302
10.05,33.536
10.18,33.405
6.6,34.35
6.78,34.019
14.94,33.682
8.44,34.506
8.34,33.9727
14.9,33.307
6.47,34.15
16.86,33.93
13.84,33.225
9.28,34.302
6.62,33.999
10.08,33.577
8.5,34.24
8.83,34.072
9.06,33.862
12.39,33.791
12.3,33.517
13.67,33.444
4.25,34.21
10.23,33.747
6.74,34.071
9.31,34.03
10.34,33.75
9.69,34.04
11.27,33.698
8.98,34.099
10.65,33.72
2.91,34.55
18.14,33.71
7.888,34.1912
7.12,34.131
5.53,34.078
7.78,34.02
9.57,34.452
11.38,33.24
10.25,33.57
9.62,33.781
8.55,34.128
10.19,33.892
10.56,33.765
8.39,34.044
11.55,33.283
17.9,33.57
18.12,34.489
8.45,34.0
7.88,34.07
8.29,34.221
13.95,33.42
16.28,35.07
18.99,33.233
9.29,33.924
19.73,33.813
7.05,34.233
9.21,33.813
9.59,33.89
13.75,34.94
12.99,33.48
12.31,33.265
12.5,33.858
14.57,33.537
22.15,34.35
9.49,33.774
12.84,33.42
6.93,33.935
14.42,33.42
5.96,34.075
12.05,33.53
17.5,34.45
14.75,33.33
8.43,34.009
4.5,34.445
6.64,34.272
6.47,34.32
8.07,34.287
10.09,33.82
7.01,33.98
10.95,33.667
13.61,33.539
12.13,33.51
6.92,34.31
12.04,33.73
10.99,34.235
10.01,33.95
9.56,34.17
5.94,34.272
9.47,33.881
7.397,34.0811
8.53,33.968
15.7,33.923
13.1,33.76
14.45,33.496
5.33,34.263
7.7,34.091
6.191,34.3079
15.54,33.559
5.45,34.281
18.99,33.741
6.35,34.13
15.1,33.281
8.32,33.999
3.5,34.54
15.49,33.362
7.96,34.253
10.22,34.05
10.5,34.17
13.87,34.92
3.93,34.49
5.64,34.25
7.28,34.29
4.31,34.107
5.83,34.04
15.551,33.3204
16.97,33.97
6.55,34.333
6.29,34.261
18.0,33.173
8.89,34.04
8.32,34.11
13.78,33.45
14.9,32.999
8.11,34.0
7.32,34.342
4.32,34.444
17.36,33.63
12.5,33.87
7.25,34.015
6.71,34.06
8.46,34.03
18.66,33.65
16.48,33.566
16.62,33.359
9.83,33.77
14.1,33.547
18.48,34.14
6.99,34.394
13.16,33.353
6.91,34.342
7.04,34.055
7.814,34.0287
13.97,33.889
3.75,34.46
5.43,34.275
12.48,33.503
7.73,34.182
17.61,33.558
9.24,34.506
6.41,34.191
4.67,34.485
8.62,33.91
13.36,33.36
7.73,34.084
4.06,34.52
12.87,33.648
12.73,33.618
5.28,34.29
8.35,33.955
9.196,33.701
12.74,33.66
8.33,34.24
17.0,33.74
10.81,34.22
11.11,33.54
9.809,33.7807
11.1,34.039
6.9,34.255
8.03,33.06
8.15,34.177
3.98,34.45
9.41,33.652
15.57,33.62
14.67,33.082
15.5,33.79
2.56,34.52
11.09,33.642
5.98,34.292
15.63,34.123
9.11,33.708
12.52,33.41
11.62,33.308
13.29,33.014
13.1,32.77
12.46,33.166
9.18,34.59
15.5,33.957
17.56,33.644
13.07,33.476
15.09,33.44
9.99,33.366
5.94,34.29
8.05,34.128
17.71,33.717
12.669,33.3487
9.5,33.529
8.1,34.025
8.43,34.149
12.29,33.882
12.31,33.374
12.09,33.58
7.03,34.025
9.86,33.774
14.9,33.218
6.89,34.15
14.67,33.38
11.35,33.569
8.21,34.084
4.02,34.471
12.74,32.677
10.94,33.495
16.72,33.663
5.44,34.293
10.79,33.17
15.9,32.971
14.07,33.75
7.39,34.03
12.27,32.515
11.05,33.769
18.46,33.738
13.67,32.922
10.08,33.714
10.976,33.1882
9.05,33.871
9.62,33.75
18.56,33.441
10.66,33.86
9.801,33.5896
8.88,34.27
9.09,33.48
8.9,34.523
7.56,34.228
10.397,33.5655
6.85,34.074
14.26,33.484
1.51,34.655
11.17,33.938
9.78,33.512
11.75,33.528
15.06,33.679
11.55,33.092
8.43,33.951
11.47,33.48
9.08,33.691
15.2,33.389
9.39,33.87
11.184,33.5493
7.78,34.01
9.44,33.802
14.41,33.262
5.02,34.515
9.52,34.061
5.2,33.98
11.25,33.95
6.59,34.147
6.93,34.31
7.45,34.049
8.06,34.38
5.53,34.329
14.44,33.646
16.29,33.679
8.18,34.49
12.48,33.207
5.63,34.115
10.78,34.34
9.94,34.24
10.71,33.675
17.52,33.78
13.97,33.216
20.66,33.78
9.06,33.787
2.6,34.627
8.17,33.996
14.0,33.672
5.37,34.145
9.67,33.883
15.99,33.098
9.1,34.24
4.31,34.135
3.66,34.561
18.42,33.411
8.17,34.035
8.07,34.192
3.32,34.49
9.86,33.334
9.98,33.496
6.33,34.167
8.31,33.919
6.98,34.336
10.48,33.202
7.79,34.114
8.479,34.2327
5.94,34.41
13.16,33.419
10.99,33.475
7.12,34.238
4.83,34.452
11.56,33.616
10.47,33.329
15.37,33.75
17.78,33.099
4.01,34.5
13.92,33.522
9.36,33.958
15.2,33.273
7.68,34.01
18.21,34.104
17.72,33.54
11.14,33.62
13.13,33.172
5.921,34.2898
14.97,33.57
11.11,33.525
10.61,34.72
10.33,34.57
6.15,34.225
7.58,34.087
10.86,33.33
18.61,33.97
4.15,34.318
13.96,33.572
8.64,34.03
14.97,32.76
10.48,33.87
6.59,34.283
15.7,32.897
13.93,33.365
13.41,33.43
9.41,33.941
7.94,34.09
7.13,34.282
5.29,33.884
6.08,34.402
13.01,33.268
7.85,34.38
10.66,33.431
6.65,34.263
5.87,34.265
11.39,33.586
13.5,33.26
10.58,33.576
14.89,33.55
10.93,33.754
14.13,33.191
8.84,34.23
10.52,33.62
6.25,34.364
16.38,33.384
9.51,33.455
18.22,33.288
14.21,33.612
4.67,34.426
8.49,34.276
10.75,33.549
15.73,34.043
8.24,34.085
10.79,34.55
10.29,33.747
7.1,34.28
25.3,34.68
6.93,34.064
18.38,33.334
6.39,34.09
15.41,32.815
20.46,34.46
6.33,34.295
8.09,34.054
8.13,34.077
6.92,34.42
6.67,33.992
8.44,33.951
12.04,33.5
8.04,34.25
15.14,33.25
3.8,34.48
12.51,33.301
7.74,34.03
8.65,33.853
19.63,33.635
7.54,34.237
8.23,34.004
5.66,34.43
8.23,34.19
9.42,33.58
12.19,33.359
7.59,34.035
6.59,34.265
16.25,32.981
10.15,33.651
7.9,34.014
7.66,34.202
12.0,34.368
14.9,33.26
19.8,33.96
6.62,34.51
7.38,34.05
8.05,34.2
6.58,34.115
7.25,34.191
15.276,33.5389
8.4,34.18
9.83,33.57
8.949,34.0936
7.41,34.34
6.52,34.52
5.835,34.1598
6.61,34.292
8.15,34.101
12.89,33.108
12.71,33.17
13.65,32.881
17.2,33.963
19.839,33.5213
7.52,34.481
8.64,34.09
7.4,33.978
13.2,33.55
10.95,33.373
15.4,33.28
10.68,33.651
6.98,34.313
8.85,33.33
8.34,34.162
11.28,33.49
15.78,33.35
7.79,34.13
17.53,32.66
6.8,34.282
12.38,32.791
9.56,33.669
6.46,34.16
7.25,34.35
10.66,33.37
7.7,34.114
6.13,34.123
3.41,34.52
11.828,32.9237
8.91,33.982
13.82,33.18
8.76,34.09
4.94,34.47
16.58,33.58
8.49,34.063
6.95,34.27
7.82,34.14
13.52,33.6
9.8,33.648
15.78,33.389
13.29,33.167
14.836,33.3527
5.93,34.34
10.34,33.517
14.56,33.5
7.93,34.136
7.24,34.04
8.24,34.56
16.56,33.534
9.489,34.0299
16.26,33.62
7.48,34.0
5.01,34.258
8.25,34.039
14.01,33.297
7.61,34.31
8.55,33.979
8.84,34.003
7.41,34.085
10.186,34.0493
5.84,34.086
8.118,34.0918
7.81,33.23
17.65,33.212
12.01,33.618
1.58,34.69
9.06,34.018
13.9,33.33
16.39,33.256
5.25,34.414
11.35,33.46
9.38,34.5
13.21,33.04
10.83,33.304
4.32,34.423
18.7,33.488
7.86,34.218
6.83,34.091
10.54,33.618
5.46,34.169
9.944,33.665
17.05,33.28
13.91,34.76
6.39,34.139
6.43,34.281
9.76,33.74
9.01,33.78
7.85,34.229
9.77,33.348
6.45,34.33
7.64,34.419
13.164,32.9362
11.57,33.789
7.79,34.035
9.04,33.612
8.34,34.202
3.12,34.569
5.36,34.187
6.51,34.276
16.54,33.671
9.74,33.422
5.84,34.21
10.6,34.014
17.33,33.74
16.32,33.278
4.16,34.53
7.64,34.058
8.35,33.95
4.77,34.24
9.256,34.0497
12.33,33.428
8.23,34.072
11.83,33.831
5.09,34.34
1.54,34.684
6.43,34.38
6.42,34.33
23.92,34.88
8.13,34.42
8.99,33.86
14.05,34.177
14.35,33.45
7.26,34.45
15.32,33.513
8.04,34.472
15.39,33.222
13.89,33.328
16.1,33.22
19.12,33.57
10.46,33.67
11.22,34.492
17.01,33.187
8.62,34.04
19.49,33.21
11.41,33.886
15.17,33.292
8.28,34.0
11.16,33.678
22.42,33.84
15.54,33.505
9.35,33.903
14.84,33.282
10.7,33.49
5.9,34.519
12.05,33.599
6.32,34.2
8.62,34.07
8.9,34.186
11.3,33.475
9.27,33.95
5.55,34.196
7.61,34.235
11.11,33.584
17.0,33.81
12.88,33.484
11.25,33.22
11.39,33.435
9.6,33.8
11.65,33.618
14.56,33.23
15.06,33.423
11.12,33.668
7.95,34.36
5.72,34.133
16.08,33.44
15.71,35.089
18.41,34.77
20.08,33.454
5.13,34.363
13.11,33.304
13.0,33.66
14.6,33.03
15.16,33.532
21.26,34.466
6.673,34.2475
18.58,34.18
7.18,34.34
10.107,33.8558
14.73,33.599
13.06,33.6
9.0,33.956
18.54,33.622
7.12,34.305
7.59,34.27
10.1,34.43
17.34,33.427
7.46,34.139
7.43,34.058
16.54,33.328
11.16,33.659
3.54,34.47
6.38,34.266
13.27,33.216
14.423,33.1774
9.48,33.609
7.88,34.51
9.08,33.786
16.56,33.492
12.24,34.027
9.84,33.804
7.07,34.16
9.28,33.904
6.1,34.264
8.81,34.14
15.05,33.079
7.2,34.01
10.5,33.383
9.6,33.84
7.91,34.01
12.17,33.494
10.13,33.44
4.19,34.43
8.02,34.057
8.39,34.212
10.94,33.439
9.18,33.983
8.25,33.1
11.03,33.643
10.32,33.362
19.46,33.79
6.84,34.308
5.64,34.209
6.87,34.31
5.94,34.31
8.15,34.186
11.11,33.522
10.17,33.304
13.0,33.359
8.04,34.131
9.76,33.85
13.33,33.173
10.33,34.08
14.98,33.234
2.84,34.498
8.77,33.838
15.15,33.177
8.06,33.94
9.44,33.469
4.04,34.47
18.88,33.45
10.8,34.69
7.56,34.021
13.93,33.1
2.32,34.615
17.45,33.351
12.22,33.441
9.06,33.602
7.96,34.254
3.94,34.45
14.69,33.241
14.65,33.167
7.32,32.82
7.14,34.51
4.12,34.371
10.58,34.41
9.7,33.929
6.677,34.2197
11.61,33.4
13.06,33.246
17.468,33.5795
15.502,33.3912
10.86,33.723
12.48,33.14
9.17,33.809
8.94,34.042
8.55,33.47
7.96,33.994
11.04,33.64
12.15,33.23
7.37,34.274
6.96,34.277
13.67,33.192
7.83,34.176
8.53,34.076
6.25,34.065
13.97,33.56
6.0,34.51
3.22,34.502
8.8,34.103
11.05,33.28
8.0,34.06
9.35,33.736
7.74,34.185
9.06,34.16
14.34,33.166
4.43,34.42
10.28,33.519
17.1,33.439
11.95,32.905
7.87,34.361
8.96,34.264
9.27,33.838
10.55,33.44
14.33,33.378
11.09,33.3667
15.26,33.4
14.109,33.2444
13.22,33.546
13.02,33.521
10.71,33.723
16.34,33.076
13.13,33.236
7.1,34.059
11.5,33.427
9.24,33.712
12.65,33.201
16.42,33.979
11.74,33.206
14.86,33.78
8.57,33.992
10.96,33.474
13.51,33.381
6.78,33.752
13.94,32.944
10.88,33.834
4.62,34.455
15.11,33.24
6.69,34.11
9.17,33.84
4.42,34.47
8.94,33.969
7.99,34.13
14.02,33.347
15.95,33.535
18.02,33.502
8.35,34.053
10.63,33.94
8.06,34.012
14.1,33.16
6.12,34.391
5.83,34.054
7.433,34.2903
15.18,33.347
13.65,34.082
15.41,33.487
9.23,34.318
9.93,33.926
11.414,33.525
7.92,34.05
11.6,34.65
12.35,32.523
14.32,33.48
8.49,33.96
5.7,34.4
15.84,33.978
7.98,34.195
2.75,34.607
8.68,33.983
5.95,34.37
16.01,33.642
13.69,35.015
18.2,33.6
6.62,34.23
8.53,34.232
7.69,34.191
8.71,33.927
8.62,34.01
8.28,33.913
9.66,33.968
9.32,33.826
17.91,34.06
8.29,33.94
8.38,34.23
5.45,34.237
6.31,34.326
6.01,34.203
6.73,34.05
14.0,33.3
9.43,33.93
8.63,33.988
9.06,33.98
9.13,34.239
19.99,33.17
11.828,33.3001
7.38,33.947
15.44,33.448
10.59,34.389
12.89,33.498
6.84,34.49
10.22,33.681
5.54,34.305
11.88,33.181
6.7,34.158
16.76,33.107
9.3,33.42
12.72,33.282
15.89,33.357
12.53,33.257
7.701,34.2697
8.87,34.062
4.86,34.36
9.43,33.877
9.96,33.629
8.27,34.06
12.08,32.69
8.54,34.009
11.61,32.93
13.76,33.453
4.42,34.58
9.42,34.18
10.45,33.63
7.67,34.19
17.33,33.44
15.29,33.309
3.84,34.18
7.44,34.125
13.93,33.71
3.95,34.38
6.98,34.47
15.59,33.53
8.058,34.2953
17.25,32.79
12.128,33.4816
5.89,34.4
14.06,32.891
14.14,33.008
9.81,33.513
6.906,34.211
15.95,33.606
12.15,33.386
3.56,34.52
14.18,33.48
7.74,34.191
8.96,33.68
11.72,33.43
8.35,34.005
5.97,34.082
10.5,33.682
8.68,34.26
12.63,33.383
10.81,33.49
15.46,33.491
7.47,34.21
3.56,34.513
16.8,34.52
14.23,33.17
9.65,33.752
17.15,33.78
16.26,33.86
12.1,33.409
7.45,34.18
15.51,33.421
10.72,33.668
7.86,34.157
11.98,33.222
10.67,34.61
7.35,34.098
4.54,34.575
9.5,34.0
12.5,34.858
8.21,34.112
15.84,33.4
6.06,34.29
3.98,34.51
15.33,33.21
8.23,34.446
15.75,33.646
11.27,33.478
4.55,34.456
10.99,33.519
11.92,33.64
7.57,34.398
21.34,34.65
8.62,34.153
13.97,33.046
7.54,34.182
8.18,33.867
9.9,33.65
11.007,33.4251
8.8,33.91
10.27,33.73
3.74,34.49
12.51,33.414
14.97,33.598
10.23,33.676
17.94,33.264
8.64,33.88
15.7,33.714
14.27,33.48
7.7,34.122
10.62,33.801
9.36,33.94
7.16,34.342
12.43,34.55
11.0,33.94
13.03,32.954
5.67,34.214
16.73,33.545
13.92,33.523
18.48,33.359
6.88,34.239
15.73,33.58
8.59,34.07
13.35,33.477
10.07,33.8
11.17,32.972
14.96,33.395
9.23,33.786
8.28,33.962
12.02,33.49
7.76,34.072
11.63,32.944
13.59,33.439
5.92,34.106
15.41,33.19
10.54,33.82
9.27,33.243
10.62,33.42
13.38,33.57
11.38,32.79
8.02,34.068
